欧美民谣 I 往昔璀璨如钻 却又锈迹斑斑,民谣;欧美;怀旧,5946771,86118
他/她们唱英文歌也如此迷人,翻唱;华语;欧美,1509989,12055
美国乡村民谣之旅,欧美;乡村;怀旧,1802001,43306
【貝多芬交响曲全集 托斯卡尼尼】,欧美;古典;怀旧,68525,966
全世界最好听的钢琴曲：卡农、千与千寻,轻音乐;怀旧;钢琴,542781,13523
蒸 汽 萝 莉 波,电子;怀旧;快乐,277089,5345
寻一处僻静角落听大叔弹唱,欧美;怀旧;R&B/Soul,4202570,99459
沧桑●欧美大叔，入耳即醉的经典,欧美;怀旧;古风,13475056,36万
CCTV9纪录频道背景音乐,影视原声;器乐;怀旧,2349610,98633
徐秉龙/沈以诚/焦迈奇/刘思鉴,治愈;感动;怀旧,1062593,27181
『好听的翻唱Cover集』,清晨;放松;怀旧,124687096,178万
致敬老男孩｜怎么会迷上你，我在问自己,华语;摇滚;怀旧,2409065,30574
【欧美轻音乐】咖啡馆艺术工作室创作专用,欧美;怀旧;治愈,753701,11745
复古电子1987.,电子;夜晚;怀旧,311621,8659
『网易云热歌』热评20w+（持续更新）,华语;怀旧;90后,8096722,82618
【催泪/伤感/纯音乐】,思念;治愈;怀旧,2860057,11万
〖动听旋律〗英文歌曲500首精选,怀旧;经典;学习,1900559,26573
绝逼在哪听过就是想不起来,怀旧;影视原声;经典,676211,18140
『Avicii最全作品集』+『未发行』,电子;思念;怀旧,270058,12428
玉笛破晓（竹笛专业独奏曲目）,古风;民族;怀旧,528793,14636
「G-Funk」当说唱遇上放克乐,欧美;说唱;怀旧,1315556,22305
英语课上的那些英文歌【青春印象】,欧美;流行;怀旧,9943936,23万
新闻联播等各大节目BGM,影视原声;经典;怀旧,2610418,71479
说不出名字的那些经典英文歌,经典;欧美;怀旧,29021704,54万
火影忍者忍术配乐,怀旧;影视原声;日语,1700119,44695
『CCTV央视』背景音乐盘点｜请看歌单介绍,另类/独立;影视原声;怀旧,961479,21376
民谣 | 路灯下我们的影子融入冬夜,民谣;孤独;怀旧,486736,8448
你一定听过但叫不出名字的bgm,怀旧;影视原声,1062468,28440
《哈利.波特》系列：走进魔法世界,影视原声;经典;怀旧,1856388,62487
【免费Beat】Old school,说唱;怀旧;经典,1112875,31359
火影忍者台词,电子;轻音乐;怀旧,4021537,88562
房东的猫/花粥/谢春花/陈雪凝,怀旧;治愈;感动,1609726,24250
遇上土嗨 这一土就是一辈子,兴奋;经典;怀旧,8006279,98248
耳朵存在的理由，200首必听欧美歌曲,欧美;怀旧;经典,1830822,30513
惊！这些影视配乐竟然自带视频！,影视原声;怀旧;经典,562336,5858
百首方言 | 年少慕远行，久未闻乡音,华语;民族;怀旧,642132,7692
年少的悸动似游云漂泊九万里,华语;民谣;怀旧,3448384,50362
虎二 歌单（持续更新）,华语;怀旧,1082806,19508
时光催促我们成长 你若不伤岁月无恙,华语;流行;怀旧,2511103,24176
『翻唱』百首经典翻唱 每首都能单曲循环,华语;流行;怀旧,11646438,12万
蓝莲花 - 许巍,华语;怀旧;经典,955696,15336
单曲循环过的那些音乐,怀旧;流行;华语,12532038,11万
那些没实现的梦想，后来都谱成了民谣,华语;民谣;怀旧,2669714,26620
当我老了，该用怎样一首歌去回忆自己,华语;流行;怀旧,1809297,14924
[苏联记忆：这里的黎明静悄悄],怀旧;安静;治愈,88438,3054
火影 海贼王 台词（remix）,日语;怀旧;影视原声,25891,630
纯音乐［伤感］,轻音乐;夜晚;怀旧,63049,835
重度失眠歌单-纯与噪音,怀旧;清新;治愈,46820,1100
抖音歌曲最新最火（2019持续更新）,流行;伤感;怀旧,5057177,49815
像素风格音乐【红白机电音】,电子;怀旧;ACG,59987,2667
王者荣耀·bgm原音,怀旧;快乐;游戏,108312,3536
有一天你会明白，有些人不会再来,伤感;怀旧;孤独,22141,258
来自一个射手座的民谣歌单,华语;民谣;怀旧,30973,1124
西班牙吉他 弗拉门戈,吉他;舞曲;怀旧,118484,2969
纯音乐开启你我心动模式,怀旧;浪漫;流行,11729,343
2018（热歌排行榜）年度总结,流行;00后;怀旧,48491,1061
耳熟能详的英语经典,欧美;怀旧;经典,28777,683
天下有你乱放的歌唱,怀旧,60260,782
苏格兰风笛经典曲子,民谣;怀旧;器乐,205034,3790
致曾经的刺激战场,怀旧;思念,30877,655
那年我们17岁,华语;怀旧;夜晚,12430,675
咦～可带劲了！,摇滚;怀旧;兴奋,359518,4128
有没有那么一首歌，会让你轻轻跟着和？,经典;怀旧;榜单,15106,386
王一博抖音专属BGM,安静;思念;怀旧,65119,465
沧桑欧美大叔，入耳即醉的经典,欧美;怀旧;古风,12161,401
几乎所有人都听过的经典轻音乐,轻音乐;古典;怀旧,46328,801
超级好听的抒情英文歌。,欧美;流行;怀旧,183601,2956
《治愈催眠系》可以让人心情平静的歌,怀旧;伤感;治愈,206642,4809
“关于我们 你遗憾吗”,怀旧;伤感;华语,530164,8721
柳拜，苏维埃，曾经的辉煌,怀旧;经典;伤感,48353,1382
我十几岁 好累（加油）,民谣;怀旧;治愈,14106,305
IT房东哥的私藏歌单–救赎之旅,华语;怀旧;感动,54922,5303
全球超大气势磅礴背景音乐精选100首合集,怀旧;经典;欧美,158305,4781
那些令人泪目的神级钢琴曲丨持续更新,经典;怀旧;轻音乐,10316,323
要是爱你爱的少些,话就可以说的多些了。,流行;夜晚;怀旧,12275,326
一键回顾中国摇滚历届“网红”,华语;摇滚;怀旧,6857,211
百首单曲循环听不腻的经典英文歌曲,欧美;流行;怀旧,178582,2694
『国纯』浮华皆寂，静谧之境,轻音乐;怀旧;安静,166226,2228
复古新潮丨一份来自八十年代的狂欢邀请.,怀旧;欧美;电子,153176,2089
古琴‖自得琴社 唐彬,器乐;经典;怀旧,18415,648
你 的 失 戀 電 台,华语;流行;说唱,166495,5269
「Synthwave」一场复刻绝迹的梦幻回溯,器乐;电子;怀旧,78013,1162
【十一年火线】穿越火线背景音乐,怀旧;游戏;90后,39596,809
超级喜欢听的歌,伤感;怀旧;孤独,267769,3438
超级神曲｜那些你一定听过的BGM神曲,世界音乐;怀旧;经典,10508,224
想开一家奶茶店这些歌列表循环店名叫＆慢慢,怀旧;浪漫;思念,100571,1690
登峰造極境 | IG英雄联盟S8总冠军,游戏;电子;怀旧,235736,3142
我庆幸遇见了你，却不想只是遇见你,欧美;伤感;怀旧,109123,1417
除了空谈 也就剩事事非非,民谣;怀旧;伤感,189053,2597
我被黑夜冲昏了头脑差点就要说想你了,清晨;怀旧;思念,191241,3896
波妞要和宗介在一起,怀旧;清新;治愈,100147,953
苏联/俄罗斯歌曲,小语种;怀旧,112197,1425
左耳谢春花右耳Jam，借我一暮年留在七月上,民谣;怀旧;安静,215639,3918
欧美好听到爆炸的音乐,欧美;流行;怀旧,201905,3133
〖精选歌曲音乐〗｛Mug Muzikilar ｝,民族;怀旧;快乐,142697,1315
【火影专属】五月雨集,日语;怀旧;经典,9087,240
不 曾 后 悔,流行;伤感;孤独,771996,10789
从纸短情长到怀念青春,乡村;夜晚;怀旧,153890,1901
中文boombap精选集,华语;说唱;怀旧,13069,188
【黎明】濒临天亮的时候 适合听什么歌？,清晨;怀旧;民谣,64951,866
中文old school说唱精选,华语;说唱;怀旧,155575,2823
来和妲己玩耍吧(王者界面BGM),怀旧;古典;游戏,9599,91
唱盘艺术: 当HipHop遇上搓碟,欧美;说唱;怀旧,267782,3579
玩具熊的午夜后宫,影视原声;游戏;怀旧,74036,1173
金曲永恒不朽，致敬采样经典EDM,欧美;电子;怀旧,273763,1894
